song name,danceability (0-1),energy (0-1),valence (0-1),tempo (BPM),loudness (Decibels),speechiness (0-1),instrumentalness (0-1),How much we like it  (1-10)
Oh Devil,0.903,0.532,0.701,96.991,-7.188,0.0593,0.0345,4
On Jordan's Stormy Banks,0.563,0.439,0.318,89.357,-10.479,0.037,3.34E-05,9
One of These Nights - 2013 Remaster,0.655,0.606,0.765,110.061,-10.385,0.0285,0.0789,7
Operator (That's Not The Way It Feels),0.692,0.623,0.832,129.966,-6.227,0.0298,3.38E-06,10
Over and Over and Over,0.565,0.849,0.758,123.768,-5.313,0.0926,0.00289,4
Overflow,0.471,0.333,0.124,80.768,-11.857,0.0375,0.000186,4
Paper Planes,0.447,0.848,0.485,172.247,-6.175,0.222,7.45E-05,4
Peace Train,0.61,0.582,0.781,82.492,-10.422,0.044,3.76E-05,7
Photographs & Memories,0.535,0.233,0.466,122.926,-14.728,0.0382,3.98E-05,10
Pin It Down,0.637,0.565,0.689,167.687,-6.864,0.0551,1.03E-05,9
Placid Acid,0.275,0.817,0.345,177.892,-6.598,0.12,0.168,6
Plain Letters,0.764,0.669,0.789,126.6,-7.275,0.0285,2.14E-05,8
Pocket Lint,0.488,0.755,0.467,117.267,-7.276,0.107,0,8
"Poems, Prayers and Promises",0.566,0.182,0.492,145.014,-13.261,0.0375,0,10
Rattle,0.475,0.278,0.157,141.65,-14.99,0.0388,0.0549,9
Rawnald Gregory Erickson the Second,0.9,0.538,0.713,95.508,-7.879,0.0343,0.843,4
Road Trippin',0.378,0.474,0.38,102.379,-8.202,0.0271,0.00138,7
Salute Your Solution,0.266,0.946,0.498,168.461,-2.855,0.171,2.73E-06,5
Save Us All,0.73,0.406,0.656,168.861,-9.847,0.0763,8.69E-05,9
Say Hallelujah,0.85,0.32,0.528,126.226,-10.044,0.0489,0,9
Seven Nation Army,0.726,0.463,0.321,123.881,-7.828,0.0799,0.447,5
Shadow,0.45,0.724,0.595,138.065,-9.569,0.03,0.865,4
